"team_selection1","team_position","team_name","team_points","team_played","team_win","team_draw","team_loss","team_goals_for","team_goals_against"
"1975–76 Bundesliga","4","1. FC Köln","39","34","14","11","9","62","45"
"1975–76 Bundesliga","5","Eintracht Braunschweig","39","34","14","11","9","52","48"
"1975–76 Bundesliga","6","Schalke 04","37","34","13","11","10","76","55"
"1975–76 Bundesliga","7","1. FC Kaiserslautern","37","34","15","7","12","66","60"
"1975–76 Bundesliga","8","Rot-Weiss Essen","37","34","13","11","10","61","67"
"1975–76 Bundesliga","9","Eintracht Frankfurt","36","34","13","10","11","79","58"
"1975–76 Bundesliga","10","MSV Duisburg","33","34","13","7","14","55","62"
"1975–76 Bundesliga","11","Hertha BSC","32","34","11","10","13","59","61"
"1975–76 Bundesliga","12","Fortuna Düsseldorf","30","34","10","10","14","47","57"
"1975–76 Bundesliga","13","Werder Bremen","30","34","11","8","15","44","55"
"1975–76 Bundesliga","14","VfL Bochum","30","34","12","6","16","49","62"
"1975–76 Bundesliga","15","Karlsruher SC","30","34","12","6","16","46","59"
"1975–76 Bundesliga","16","Hannover 96","27","34","9","9","16","48","60"
"1975–76 Bundesliga","17","Kickers Offenbach","27","34","9","9","16","40","72"
"1975–76 Bundesliga","18","Bayer 05 Uerdingen","22","34","6","10","18","28","69"
"1976–77 Bundesliga","1","Borussia Mönchengladbach","44","34","17","10","7","58","34"
"1976–77 Bundesliga","2","Schalke 04","43","34","17","9","8","77","52"
"1976–77 Bundesliga","3","Eintracht Braunschweig","43","34","15","13","6","56","38"
"1976–77 Bundesliga","4","Eintracht Frankfurt","42","34","17","8","9","86","57"
"1976–77 Bundesliga","5","1. FC Köln","40","34","17","6","11","83","61"
"1976–77 Bundesliga","6","Hamburger SV","38","34","14","10","10","67","56"
"1976–77 Bundesliga","7","Bayern Munich","37","34","14","9","11","74","65"
"1976–77 Bundesliga","8","Borussia Dortmund","34","34","12","10","12","73","64"
"1976–77 Bundesliga","9","MSV Duisburg","34","34","11","12","11","60","51"
"1976–77 Bundesliga","10","Hertha BSC","34","34","13","8","13","55","54"
"1976–77 Bundesliga","11","Werder Bremen","33","34","13","7","14","51","59"
"1976–77 Bundesliga","12","Fortuna Düsseldorf","31","34","11","9","14","52","54"
