season,position,club,points,played,win,draw,loss,GF,GA,GD,city
1979–80,10,VfL Bochum,32,34,13,6,15,41,44,-3,Bochum
1979–80,11,Fortuna Düsseldorf,32,34,13,6,15,62,72,-10,Düsseldorf
1979–80,12,Bayer Leverkusen,32,34,12,8,14,45,61,-16,Leverkusen
1979–80,13,TSV 1860 Munich,30,34,10,10,14,42,53,-11,Munich
1979–80,14,MSV Duisburg,29,34,11,7,16,43,57,-14,Duisburg
1979–80,15,KFC Uerdingen,29,34,12,5,17,43,61,-18,Krefeld
1979–80,16,Hertha BSC,29,34,11,7,16,41,61,-20,Berlin
1979–80,17,Werder Bremen,25,34,11,3,20,52,93,-41,Bremen
1979–80,18,Eintracht Braunschweig,20,34,6,8,20,32,64,-32,Braunschweig
1980–81,1,FC Bayern Munich,53,34,22,9,3,89,41,48,Munich
1980–81,2,Hamburger SV,49,34,21,7,6,73,43,30,Hamburg
1980–81,3,VfB Stuttgart,46,34,19,8,7,70,44,26,Stuttgart
1980–81,4,1. FC Kaiserslautern,44,34,17,10,7,60,37,23,Kaiserslautern
1980–81,5,Eintracht Frankfurt,38,34,13,12,9,61,57,4,Frankfurt
1980–81,6,Borussia Mönchengladbach,37,34,15,7,12,68,64,4,Mönchengladbach
1980–81,7,Borussia Dortmund,35,34,13,9,12,69,59,10,Dortmund
1980–81,8,1. FC Köln,34,34,12,10,12,54,55,-1,Cologne
1980–81,9,VfL Bochum,33,34,9,15,10,53,45,8,Bochum
1980–81,10,Karlsruher SC,32,34,9,14,11,56,63,-7,Karlsruhe
1980–81,11,Bayer Leverkusen,30,34,10,10,14,52,53,-1,Leverkusen
1980–81,12,MSV Duisburg,29,34,10,9,15,45,58,-13,Duisburg
1980–81,13,Fortuna Düsseldorf,28,34,10,8,16,57,64,-7,Düsseldorf
1980–81,14,1. FC Nürnberg,28,34,11,6,17,47,57,-10,Nuremberg
1980–81,15,Arminia Bielefeld,26,34,10,6,18,46,65,-19,Bielefeld
1980–81,16,TSV 1860 Munich,25,34,9,7,18,49,67,-18,Munich
1980–81,17,FC Schalke 04,23,34,8,7,19,43,88,-45,Gelsenkirchen
1980–81,18,KFC Uerdingen,22,34,8,6,20,47,79,-32,Krefeld
1981–82,1,Hamburger SV,48,34,18,12,4,95,45,50,Hamburg
1981–82,2,1. FC Köln,45,34,18,9,7,72,38,34,Cologne
1981–82,3,FC Bayern Munich,43,34,20,3,11,77,56,21,Munich
1981–82,4,1. FC Kaiserslautern,42,34,16,10,8,70,61,9,Kaiserslautern
1981–82,5,Werder Bremen,42,34,17,8,9,61,52,9,Bremen
1981–82,6,Borussia Dortmund,41,34,18,5,11,59,40,19,Dortmund
1981–82,7,Borussia Mönchengladbach,40,34,15,10,9,61,51,10,Mönchengladbach
1981–82,8,Eintracht Frankfurt,37,34,17,3,14,83,72,11,Frankfurt
1981–82,9,VfB Stuttgart,35,34,13,9,12,62,55,7,Stuttgart
1981–82,10,VfL Bochum,32,34,12,8,14,52,51,1,Bochum
1981–82,11,Eintracht Braunschweig,32,34,14,4,16,61,66,-5,Braunschweig
1981–82,12,Arminia Bielefeld,30,34,12,6,16,46,50,-4,Bielefeld
1981–82,13,1. FC Nürnberg,28,34,11,6,17,53,72,-19,Nuremberg
1981–82,14,Karlsruher SC,27,34,9,9,16,50,68,-18,Karlsruhe
1981–82,15,Fortuna Düsseldorf,25,34,6,13,15,48,73,-25,Düsseldorf
1981–82,16,Bayer Leverkusen,25,34,9,7,18,45,72,-27,Leverkusen
1981–82,17,SV Darmstadt,21,34,5,11,18,46,82,-36,Darmstadt
1981–82,18,MSV Duisburg,19,34,8,3,23,40,77,-37,Duisburg
1982–83,1,Hamburger SV,52,34,20,12,2,79,33,46,Hamburg
1982–83,2,Werder Bremen,52,34,23,6,5,76,38,38,Bremen
1982–83,3,VfB Stuttgart,48,34,20,8,6,80,47,33,Stuttgart
1982–83,4,FC Bayern Munich,44,34,17,10,7,74,33,41,Munich
1982–83,5,1. FC Köln,43,34,17,9,8,69,42,27,Cologne
1982–83,6,1. FC Kaiserslautern,41,34,14,13,7,57,44,13,Kaiserslautern
1982–83,7,Borussia Dortmund,39,34,16,7,11,78,62,16,Dortmund
